Site/Division,Jira Ticket #,State,Name,Notes,Merge,Legacy URL,New URL,Page Title
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/54fffbdc-3675-4730-b05b-2e5e0f86aaac,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/fb5cf1c8-3961-4779-bbfc-63ebb37f489b,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/f29f0e39-448f-47d5-975f-530c214364f1,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/66d4cc91-a3b1-4b0c-acad-6b8d1028ec8a,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/4c8deabe-65ed-4b12-8e45-335a75f50dd1,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/2c08c3cf-ff2e-497b-8986-9c04708dd9c2,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/f1e6b1a0-a587-460a-bea4-76fbf0fcef75,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/955e29e1-a8b8-468b-9670-f7c546553eb7,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/860f9bdf-ca0c-4b70-833d-48edf598e27d,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/486f54ce-8f2a-46e4-90b5-1c3c41507a80,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/bef0f0d9-8ac5-47a2-beec-b468bfd5c41f,,DCI News
